0   235
1   203
2   203
3   203
4   155
5   149
6   149
7   149
8   133
9   133
10  115
11  88
12  82
13  57
14  20


#0 238               30
#1 -32               30 
#2                   1
#3                   2
#4 -8 -40            3 ctvrtek
#5 -6                  4 patek
#6                   5
#7                   6
#8  -16              7 pondeli
#9                   8
#10 -18              9
#11 -12 -15          10 ctvrtek
#12 -6               11 patek
#14 -26              12
#14 46 -34              13
